id,product_name,price_bdt,text
18,ইউনিলিভার শ্যাম্পু,342,"শ্যাম্পু। চুলের যত্নে ব্যবহৃত হয়। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। প্রোডাক্টটির মূল্য 342 টাকা"
19,মিনিস্টার তোয়ালে,332,"তোয়ালে। উচ্চমানের সুতার তোয়ালে। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রোডাক্টটির মূল্য 332 টাকা"
20,নেসলে বিস্কুট,61,"বিস্কুট। সুস্বাদু ক্রিম বিস্কুট। নেসলে ব্র্যান্ডের গুণগত মানের পণ্য। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। প্রোডাক্টটির মূল্য 61 টাকা"
21,প্রাণ জৈব সার,1686,"জৈব সার। মাটির উর্বরতা বাড়ায়। এই পণ্যের প্রাণ ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। স্টক সীমিত, তাই এখনই অর্ডার করুন। প্রোডাক্টটির মূল্য 1686 টাকা"
22,সিঙ্গার ডাল,328,ডাল। প্রোটিন সমৃদ্ধ ডাল। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রোডাক্টটির মূল্য 328 টাকা
23,মেঘনা ক্যালকুলেটর,1325,ক্যালকুলেটর। সঠিক হিসাবের জন্য। মেঘনা ব্র্যান্ডের গুণগত মানের পণ্য। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রোডাক্টটির মূল্য 1325 টাকা
24,রহিম আফরোজ মাছ,672,"মাছ। তাজা নদীর মাছ। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। স্টক সীমিত, তাই এখনই অর্ডার করুন। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রোডাক্টটির মূল্য 672 টাকা"
25,রহিম আফরোজ ননস্টিক প্যান,2249,"ননস্টিক প্যান। রান্নায় তেল কম লাগে। এই পণ্যের রহিম আফরোজ ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। স্টক সীমিত, তাই এখনই অর্ডার করুন। প্রোডাক্টটির মূল্য 2249 টাকা"
26,এসিআই পানীয়,105,"পানীয়। ঠান্ডা ও সতেজ পানীয়। এই পণ্যের এসিআই ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। স্টক সীমিত, তাই এখনই অর্ডার করুন। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। প্রোডাক্টটির মূল্য 105 টাকা"
27,ওয়ালটন ছাতা,210,"ছাতা। বৃষ্টি ও রোদে সুরক্ষা। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। প্রোডাক্টটির মূল্য 210 টাকা"
28,বসুন্ধরা চাল,110,"চাল। প্রিমিয়াম মানের চাল। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রোডাক্টটির মূল্য 110 টাকা"
29,রহিম আফরোজ টর্চলাইট,1118,"টর্চলাইট। উজ্জ্বল আলোর টর্চ। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রোডাক্টটির মূল্য 1118 টাকা"
30,প্রাণ সয়াবিন তেল,487,"সয়াবিন তেল। বিশুদ্ধ সয়াবিন তেল। প্রাণ ব্র্যান্ডের গুণগত মানের পণ্য। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রোডাক্টটির মূল্য 487 টাকা"
31,এসিআই টর্চলাইট,351,"টর্চলাইট। উজ্জ্বল আলোর টর্চ। এই পণ্যের এসিআই ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। প্রোডাক্টটির মূল্য 351 টাকা"
32,আকিজ মরিচ গুঁড়া,128,"মরিচ গুঁড়া। ঝাল মরিচের গুঁড়া। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রোডাক্টটির মূল্য 128 টাকা"
33,আকিজ থার্মোস ফ্লাস্ক,454,"থার্মোস ফ্লাস্ক। গরম ও ঠান্ডা পানীয় সংরক্ষণে। এই পণ্যের আকিজ ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। প্রোডাক্টটির মূল্য 454 টাকা"
34,রহিম আফরোজ ডাল,201,"ডাল। প্রোটিন সমৃদ্ধ ডাল। রহিম আফরোজ ব্র্যান্ডের গুণগত মানের পণ্য। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। প্রোডাক্টটির মূল্য 201 টাকা"
35,ভিশন মাছ,530,"মাছ। তাজা নদীর মাছ। এই পণ্যের ভিশন ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রোডাক্টটির মূল্য 530 টাকা"
36,ইউনিলিভার ব্লুটুথ ইয়ারফোন,3711,ব্লুটুথ ইয়ারফোন। উচ্চমানের সাউন্ড কোয়ালিটি। ইউনিলিভার ব্র্যান্ডের গুণগত মানের পণ্য। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রোডাক্টটির মূল্য 3711 টাকা
37,আকিজ বিস্কুট,95,"বিস্কুট। সুস্বাদু ক্রিম বিস্কুট। এই পণ্যের আকিজ ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। প্রোডাক্টটির মূল্য 95 টাকা"
38,নেসলে মশার কয়েল,37,"মশার কয়েল। মশা তাড়াতে কার্যকর। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। প্রোডাক্টটির মূল্য 37 টাকা"
39,বসুন্ধরা নুডুলস,35,"নুডুলস। সুস্বাদু ও পুষ্টিকর খাবার। এই পণ্যের বসুন্ধরা ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। প্রোডাক্টটির মূল্য 35 টাকা"
40,ভিশন কলম,80,"কলম। মসৃণ লেখার জন্য। এই পণ্যের ভিশন ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রোডাক্টটির মূল্য 80 টাকা"
41,প্রাণ পারফিউম,2017,"পারফিউম। সুগন্ধি পারফিউম। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। স্টক সীমিত, তাই এখনই অর্ডার করুন। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। প্রোডাক্টটির মূল্য 2017 টাকা"
42,ওয়ালটন মাছ,441,মাছ। তাজা নদীর মাছ। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রোডাক্টটির মূল্য 441 টাকা
43,ওয়ালটন ক্যালকুলেটর,814,"ক্যালকুলেটর। সঠিক হিসাবের জন্য। ওয়ালটন ব্র্যান্ডের গুণগত মানের পণ্য। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। প্রোডাক্টটির মূল্য 814 টাকা"
44,পারটেক্স পারফিউম,709,"পারফিউম। সুগন্ধি পারফিউম। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রোডাক্টটির মূল্য 709 টাকা"
45,রহিম আফরোজ টুথপেস্ট,149,"টুথপেস্ট। দাঁত সুরক্ষায় কার্যকর। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। প্রোডাক্টটির মূল্য 149 টাকা"
46,মেঘনা চকোলেট,328,"চকোলেট। মিষ্টি চকোলেট বার। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। প্রোডাক্টটির মূল্য 328 টাকা"
47,প্রাণ ক্যালকুলেটর,475,"ক্যালকুলেটর। সঠিক হিসাবের জন্য। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। স্টক সীমিত, তাই এখনই অর্ডার করুন। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রোডাক্টটির মূল্য 475 টাকা"
48,ইউনিলিভার কফি,335,"কফি। আরোমেটিক ইনস্ট্যান্ট কফি। ইউনিলিভার ব্র্যান্ডের গুণগত মানের পণ্য। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রোডাক্টটির মূল্য 335 টাকা"
49,রহিম আফরোজ চা,106,"চা। সুগন্ধি চা পাতা। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রোডাক্টটির মূল্য 106 টাকা"
50,এসিআই বাঁশের ঝুড়ি,983,"বাঁশের ঝুড়ি। ঘরের সাজসজ্জায় ব্যবহৃত হয়। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। প্রোডাক্টটির মূল্য 983 টাকা"
